연번,경도,위도,Station 스테이션/성명,업무건물,주거건물,기타건물,대전지하철역,사고량,타슈이용량,총이용승객,경제인구수,교통량,하천여부,sum,순위
119,127.4326996,36.34938521,용전동 천주교회,0.009935227272727273,0.028720416666666665,0.012898421052631578,0.0,0.0,0.0006498459881325825,0.017285278226392305,0.009068322719802792,0.024123034249961785,0.0,0.10268054617631499,87
115,127.4341009,36.35724301,한전 대전세종충남지역본부(건너편),0.004257954545454545,0.01768375,0.009213157894736842,0.0,0.0,0.0013100069919498095,0.0062035686960920195,0.0072755238290879215,0.055119999999999995,0.0,0.10106396195732113,88
166,127.4379807,36.32196956,인동네거리,0.011354545454545454,0.008841874999999999,0.029482105263157893,0.0,0.0,0.0020134910616425414,0.004525049698731397,0.007541835456039442,0.032626495506411564,0.0,0.09638539744052829,89
72,127.4294439,36.36981585,대덕경찰서(법동),0.015612499999999998,0.002320208333333333,0.0,0.0,0.0441178947368421,0.0008300149287577006,0.006096205043815052,0.01565473089564503,0.008367834201311151,0.0,0.09299938813970438,90
73,127.4284976,36.36857167,대전중앙병원,0.00851590909090909,0.007023333333333333,0.0,0.0,0.0441178947368421,0.0007839411920329567,0.0065617665746322005,0.016417974527526705,0.008367834201311151,0.0,0.09178865365658753,91
169,127.429812,36.33595351,삼성네거리,0.011354545454545454,0.011162083333333333,0.04790842105263158,0.0,0.0,0.0009297267470425942,0.006810217654132534,0.002523096754313887,0.01007784325527156,0.0,0.09076593425127095,92
121,127.433193,36.35786592,용전네거리(하나은행),0.002838636363636363,0.018310833333333332,0.005527894736842105,0.0,0.0,0.001840198798140519,0.007781173311660661,0.006501298274445357,0.04546845365548271,0.0,0.08826848847354105,93
167,127.4346135,36.32705794,원동네거리,0.004257954545454545,0.005706458333333333,0.036852631578947366,0.0,0.0,0.0021716546354737516,0.028737628102293945,0.002512114831552999,0.006882632998874121,0.0,0.08712107502593006,94
128,127.4259372,36.43186487,과선교버스정류장,0.0,0.0002508333333333333,0.07923315789473684,0.0,0.0,8.11447900525341e-05,0.0020200798135939137,0.0004008401807723911,0.003048379160590544,0.0,0.08503443517307956,95
221,127.3686249,36.34948397,갈마중학교(서부장로교회),0.00851590909090909,0.023641041666666668,0.009213157894736842,0.0,0.0,0.0019405982841377227,0.002991645710859167,0.015042488701725552,0.02355470469524419,0.0,0.08489954604427923,96
207,127.4425697,36.34355886,가양초등학교,0.002838636363636363,0.040258749999999996,0.020268947368421053,0.0,0.0,0.001729484296458672,0.001760978444786699,0.00557332580115037,0.011613921822710375,0.0,0.08404404409716353,97
64,127.3335173,36.34724494,유성생명과학고등학교,0.007096590909090907,0.007336874999999999,0.0018426315789473683,0.0,0.055147368421052625,0.0013973407914131296,0.00042028174232245264,0.008151332169268694,0.0024416926032572875,0.0,0.08383411321535246,98
235,127.450622,36.35796619,비래동 금성백조(102동),0.0014193181818181817,0.02959833333333333,0.03316736842105263,0.0,0.0,0.000702108734268113,0.0038319972174901233,0.012991614626129827,0.001659131688958625,0.0,0.08336987220305084,99
63,127.3363975,36.347651,상대초등학교,0.004257954545454545,0.006709791666666666,0.0,0.0,0.055147368421052625,0.0021152658830643632,0.00018259015292406488,0.009828820870994247,0.0024416926032572875,0.0,0.0806834841434138,100
142,127.4222919,36.332047,선화참좋은아파트(유안타증권),0.043998863636363635,0.011224791666666666,0.0036852631578947366,0.0,0.0,0.0023868946294266597,0.002923144694472809,0.007401815940838127,0.008959712139318527,0.0,0.08058048586498115,101
71,127.4290326,36.37247619,대전지방국세청,0.002838636363636363,0.002884583333333333,0.0,0.0,0.0441178947368421,0.001366395744359197,0.009216495714836407,0.014273754108463432,0.005578556134207434,0.0,0.08027631613567827,102
172,127.4338704,36.31343849,부사네거리,0.004257954545454545,0.028971249999999997,0.020268947368421053,0.0,0.0,0.0019632913186439396,0.010242360101553452,0.005090121199671322,0.009049627626894636,0.0,0.07984355216063894,103
193,127.4420104,36.30991671,석교동주민센터,0.0,0.03367437499999999,0.016583684210526313,0.0,0.0,0.0015699453872028422,0.003954135094981703,0.004988538414133114,0.01894881082110021,0.0,0.07971948892794417,104
56,127.3450501,36.36182478,충대정문오거리2(건너편),0.01987045454545455,0.005894583333333333,0.0018426315789473683,0.0,0.0,0.011026751766884614,0.01959466306399305,0.004788118323746919,0.01565037645231648,0.0,0.07866757906467631,105
170,127.4246745,36.3222077,대전고오거리,0.024128409090909093,0.010911249999999999,0.01105578947368421,0.0,0.0,0.0016063917759552516,0.006182531484101648,0.007942675636811832,0.016198012205144056,0.0,0.07802505966660608,106
196,127.4206184,36.37410739,대덕문화원,0.004257954545454545,0.009907916666666667,0.05159368421052631,0.0,0.0,0.0009806141577535054,0.002884140739906233,0.0011064287181594085,0.006882632998874121,0.0,0.0776133720373408,107
194,127.4488855,36.30501808,호동우체국(건너편),0.002838636363636363,0.02527145833333333,0.02211157894736842,0.0,0.0,0.00044560867757662795,0.0022565380763656905,0.0041209665160230075,0.01868910513798716,0.0,0.0757338920522906,108
156,127.4149132,36.33599349,중촌네거리(목동우체국 방면),0.015612499999999998,0.027967916666666665,0.007370526315789473,0.0,0.0,0.0015768220643259385,0.0054738632891661474,0.005993384346754314,0.010485451458845578,0.0,0.07448046414154812,109
238,127.3768306,36.33065989,내동네거리(컨벤션웨딩홀),0.0,0.039819791666666667,0.0036852631578947366,0.0,0.0,0.0017666183529233912,0.003961926892888367,0.00828036976170912,0.01696107319073866,0.0,0.07447504302282094,110
141,127.4191124,36.33067917,대전세무서,0.02696704545454546,0.024142708333333332,0.0018426315789473683,0.0,0.0,0.0012811249480328055,0.005179849783819186,0.006891156532456861,0.007300580450359902,0.0,0.07360509708149492,111
46,127.3772038,36.34705852,경성큰마을,0.011354545454545454,0.009343541666666667,0.0,0.0,0.0,0.006583730677652218,0.013196113136525228,0.020162810188989317,0.012148402011392634,0.0,0.07278914313577152,112
225,127.4520801,36.34904348,대전보건대,0.011354545454545454,0.02846958333333333,0.0018426315789473683,0.0,0.0,0.0015176826410673117,0.0071279983913464795,0.007390834018077239,0.014932185200627626,0.0,0.0726354606179448,113
198,127.3793274,36.31393135,도마네거리,0.004257954545454545,0.03844020833333333,0.007370526315789473,0.0,0.0,0.0021915969991307305,0.012550601542594103,0.0030859202958093673,0.004197795876442389,0.0,0.07209460390855395,114
135,127.4059384,36.32104442,서대전역네거리,0.002838636363636363,0.006019999999999999,0.0036852631578947366,0.0,0.0,0.002454286065233002,0.012235480165918787,0.010279079704190633,0.03358236701153911,0.0,0.07109511246841263,115
93,127.4006933,36.31898024,서대전육교,0.004257954545454545,0.024393541666666664,0.016583684210526313,0.0,0.0,0.0013767107600438416,0.004356379435389969,0.011514546014790468,0.008395591752884778,0.0,0.07087840838575658,116
55,127.3440513,36.36253674,충대정문오거리1(정문),0.02128977272727273,0.00489125,0.0,0.0,0.0,0.006744644922332666,0.017821942321948822,0.004131948438783895,0.01565037645231648,0.0,0.07052993486265459,117
151,127.447843,36.33697833,우송대 정문(건너편),0.02696704545454546,0.024769791666666666,0.0,0.0,0.0,0.004338495596961337,0.006543812679208357,0.00613614934264585,0.0,0.0,0.06875529474002767,118
192,127.4255389,36.31765613,보문산오거리,0.0,0.027089999999999996,0.0,0.0,0.0,0.0012666839260743038,0.004777181487383023,0.004560243426458505,0.030972851042288422,0.0,0.06866695988220425,119
62,127.3422972,36.35039508,도안휴먼시아1단지,0.002838636363636363,0.002571041666666667,0.0,0.0,0.0441178947368421,0.0016772215503231414,0.0035285603258867117,0.007481434880854561,0.006315872315971416,0.0,0.06853066184018096,120
122,127.4235985,36.35852073,한남대후문 입구,0.012773863636363637,0.02138354166666667,0.007370526315789473,0.0,0.0,0.006314852602139159,0.007253444410570896,0.006185567995069844,0.006862268277413568,0.0,0.06814406490401324,121
212,127.4251273,36.44382989,대전광역시 대덕구보건소네거리(자연애마트),0.004257954545454545,0.012917916666666668,0.04238052631578947,0.0,0.0,0.00039197059601647836,0.001657141335832697,0.0059329837715694335,0.0,0.0,0.0675384932313293,122
4,127.3795206,36.36798435,초원아파트(104동 버스정류장),0.017031818181818183,0.0019439583333333331,0.0,0.0,0.0,0.007385551230205224,0.011964276779587951,0.014471428718159408,0.014186718538459476,0.0,0.06698375178156357,123
222,127.3680119,36.34412614,갈마아파트 한마음동산,0.005677272727272727,0.015488958333333334,0.01105578947368421,0.0,0.0,0.00242265335046676,0.002289728694489126,0.0148722688989318,0.014152716111759276,0.0,0.06595938758993723,124
237,127.3781332,36.32450701,변동네거리(복음천하교회),0.0014193181818181817,0.03285916666666667,0.014741052631578946,0.0,0.0,0.002090509845421218,0.004972477473991654,0.009499363188167626,0.0,0.0,0.06558188798764429,125
197,127.377505,36.32031574,농도원네거리,0.0,0.048159999999999994,0.0018426315789473683,0.0,0.0,0.0018333221210174234,0.0042445385505153555,0.009392289441248971,0.0,0.0,0.06547278169172911,126
92,127.3947173,36.31804781,서대전농협,0.014193181818181817,0.026274791666666665,0.0036852631578947366,0.0,0.0,0.0008265765901961526,0.006750844539498334,0.00502697514379622,0.008395591752884778,0.0,0.0651532246691187,127
91,127.3925554,36.31687611,버드내네거리,0.00851590909090909,0.015677083333333335,0.01105578947368421,0.0,0.0,0.0006986703957065648,0.005523780899662995,0.006454625102711586,0.016791183505769556,0.0,0.06471704180177733,128
219,127.3996002,36.31307133,문화초등학교네거리,0.0,0.041889166666666665,0.005527894736842105,0.0,0.0,0.0011112710230923315,0.003301570414404647,0.005504688783894824,0.007207351199389423,0.0,0.06454194282429,129
123,127.405946,36.44679856,구)대덕경찰서(문평동),0.0014193181818181817,0.0,0.058964210526315786,0.0,0.0,0.0002097386522544314,0.0005356234762153114,0.0,0.0033950233013480416,0.0,0.06452391413795175,130
185,127.4472925,36.35503496,비래동 산림조합,0.007096590909090907,0.021195416666666668,0.012898421052631578,0.0,0.0,0.0014881129294379986,0.005226260121721608,0.013192034716516022,0.0033922146381477323,0.0,0.06448905103421251,131
247,127.4126921,36.33167759,목동 한사랑아파트(109동),0.002838636363636363,0.021947916666666668,0.0036852631578947366,0.0,0.0,0.0014846745908764507,0.0038630166668646286,0.0069021384552177475,0.02374550246703413,0.0,0.06446714836819073,132
116,127.4365121,36.35513468,홈플러스(동대전점),0.007096590909090907,0.015865208333333332,0.012898421052631578,0.0,0.0,0.0012577442458142787,0.0027750812635176743,0.007072358258011504,0.016513814621930856,0.0,0.06347921868433012,133
236,127.4481798,36.34890242,가양2동주민센터(건너편 한산아파트),0.0,0.03430145833333333,0.007370526315789473,0.0,0.0,0.0006477829849956537,0.0035081847422429075,0.00887064811010682,0.008295658444793125,0.0,0.06299425893126132,134
52,127.3811437,36.34356854,유승기업사,0.012773863636363637,0.020317500000000002,0.0,0.0,0.0,0.0016167067916398957,0.006865235584116514,0.010292807107641742,0.0107167108173931,0.0,0.06258282393715489,135
109,127.3879368,36.34239229,서부농협본점,0.014193181818181817,0.013356875,0.0036852631578947366,0.0,0.0,0.004727715522128577,0.005140042882230077,0.010699138249794576,0.0107167108173931,0.0,0.06251892744762289,136
211,127.4262369,36.44714911,석봉문화센터,0.00851590909090909,0.01987854166666667,0.02211157894736842,0.0,0.0,0.0,0.0003538619646185008,0.007289251232539031,0.003048379160590544,0.0,0.06119752206269226,137
181,127.4045795,36.39698253,(공사중)엑스포아파트4단지(건너편),0.012773863636363637,0.01737020833333333,0.0,0.0,0.0,0.004410700706753846,0.0045454188587990205,0.009922167214461791,0.01215360607399811,0.0,0.06117596482370974,138
244,127.4459664,36.34013235,우송대 서문(건너편),0.00851590909090909,0.039819791666666667,0.0,0.0,0.0,0.002236983068143165,0.0032824538516921754,0.006630335866885785,0.0,0.0,0.060485473544296876,139
248,127.4541282,36.29886157,옥계동 새마을금고,0.0,0.024268124999999995,0.009213157894736842,0.0,0.0,0.0009338527533164519,0.003237122674588037,0.005315250616269515,0.017098299729825156,0.0,0.060065808668735995,140
20,127.3920335,36.35126995,크로바아파트(정문 맞은편),0.028386363636363637,0.0026964583333333333,0.0,0.0,0.0,0.004071680524585207,0.003926706424691967,0.020942526705012326,0.0,0.0,0.06002373562398647,141
162,127.3868747,36.43172001,송강체육관,0.005677272727272727,0.009155416666666666,0.02211157894736842,0.0,0.0,0.0014351625155901587,0.003488515751978933,0.013757603738701725,0.0037944733714846478,0.0,0.05942002371906328,142
180,127.4018064,36.39937451,전민동주민센터(건너편),0.012773863636363637,0.017871875,0.0,0.0,0.0,0.0028930180656865337,0.0013069536567893083,0.01512485312243221,0.00864144544582737,0.0,0.05861200892709906,143
78,127.4315268,36.36313653,중리동(하나로병원),0.005677272727272727,0.039443541666666665,0.0,0.0,0.0,0.001018435881930534,0.00301441086484203,0.00653424404272802,0.002789278067103717,0.0,0.05847718325054369,144
125,127.4267654,36.443988,엑슬루타워,0.002838636363636363,0.012917916666666668,0.02579684210526316,0.0,0.0,0.001050756264409086,0.0026058457254723826,0.0071657046014790456,0.006096758321181088,0.0,0.058472460048107786,145
13,127.3943619,36.35832669,삼천중학교(정문 맞은편),0.004257954545454545,0.0028218749999999997,0.0,0.0,0.0,0.003240977928115197,0.016678179618019175,0.023775862777321282,0.006862268277413568,0.0,0.057637118146323774,146
41,127.3631712,36.35366969,대전일보,0.007096590909090907,0.022763125000000002,0.0,0.0,0.0,0.0023868946294266597,0.004318608807450004,0.009548781840591618,0.0107167108173931,0.0,0.05683071200395229,147
89,127.392131,36.31947462,버드내초등학교,0.00851590909090909,0.012039999999999999,0.0,0.0,0.0,0.0028778893760157223,0.005075730037513253,0.018639068405916188,0.008395591752884778,0.0,0.05554418866323903,148
245,127.4439067,36.31671378,천동초등학교,0.0014193181818181817,0.02157166666666667,0.007370526315789473,0.0,0.0,0.0012219855247741793,0.002015133659935109,0.009867257600657355,0.01180915070074821,0.0,0.05527503865038917,149
44,127.3829623,36.35446498,을지대학병원,0.045418181818181816,0.0,0.0,0.0,0.0,0.004151449979213123,0.0021467077708355003,0.002245803204601479,0.0,0.0,0.053962142772831914,150
240,127.373075,36.30870043,서부경찰서,0.01987045454545455,0.007713124999999999,0.0018426315789473683,0.0,0.0,0.0012893769605805208,0.003912992089547099,0.014155698438783896,0.004197795876442389,0.0,0.052982074489755816,151
50,127.3933793,36.34707504,한가람아파트,0.002838636363636363,0.02213604166666667,0.0,0.0,0.0,0.004047612154654371,0.003469752485956375,0.019256801561216105,0.0,0.0,0.05174884423212988,152
146,127.3529503,36.30300696,도안 호반베르디움(101동),0.0014193181818181817,0.014172083333333333,0.0,0.0,0.0,0.0011167723647908085,0.012513158517039333,0.011168615447822513,0.01116315051164387,0.0,0.05155309835644804,153
43,127.3742068,36.35409225,둔산여고,0.011354545454545454,0.010346874999999998,0.0,0.0,0.0,0.006336857968933067,0.0014960701631125237,0.016338355587510272,0.00535835540869655,0.0,0.05123105958279787,154
242,127.4046984,36.3221204,서대전역,0.0,0.004515,0.0036852631578947366,0.0,0.0,0.0027080354510752485,0.011282902359842402,0.012236607436318816,0.016791183505769556,0.0,0.05121899191090076,155
40,127.3593091,36.35382001,월평타운,0.005677272727272727,0.02326479166666667,0.0,0.0,0.0,0.0013093193242374997,0.004318608807450004,0.00977391125718981,0.00535835540869655,0.0,0.04970225919151327,156
157,127.4110782,36.3404982,중촌초등학교(건너편),0.0014193181818181817,0.021759791666666667,0.0,0.0,0.0,0.0029562834952190182,0.007010363440757266,0.010745811421528348,0.005551533273825168,0.0,0.04944310147981465,157
127,127.4290338,36.44845573,신탄진역,0.002838636363636363,0.017746458333333333,0.009213157894736842,0.0,0.0,0.0004435456744396992,0.008455873635754915,0.0038299455628594903,0.0064434024619385855,0.0,0.04897101992669922,158
36,127.3985771,36.35577392,가람아파트(3동),0.0014193181818181817,0.002445625,0.0,0.0,0.0,0.0027946815828262593,0.011171292723710277,0.02424808545603944,0.006862268277413568,0.0,0.04894127122180773,159
165,127.3877885,36.4219161,배울네거리,0.018451136363636364,0.004515,0.0,0.0,0.0,0.002679153407158245,0.010090121346081143,0.012884540879211174,0.0,0.0,0.04861995199608693,160
86,127.3969705,36.32346611,삼부프라자,0.005677272727272727,0.012855208333333333,0.0,0.0,0.0,0.0025498718772440383,0.004917902770764114,0.01553942070665571,0.006784429276295465,0.0,0.04832410569156539,161
129,127.4360213,36.44832273,신탄진고네거리,0.012773863636363637,0.017558333333333332,0.009213157894736842,0.0,0.0,8.320779318946295e-05,0.0017401403636579157,0.006583662695152013,0.0,0.0,0.0479523657164332,162
191,127.4450054,36.3203105,신흥마을아파트(102동),0.0,0.028532291666666664,0.0018426315789473683,0.0,0.0,0.0014482282021240408,0.0025770231391515283,0.007761473911257189,0.005578556134207434,0.0,0.04774020463235423,163
84,127.3969705,36.32346611,강남한의원,0.005677272727272727,0.012855208333333333,0.0,0.0,0.0,0.0017824347103065118,0.004917902770764114,0.01553942070665571,0.006784429276295465,0.0,0.04755666852462786,164
6,127.3755067,36.36150724,백합네거리(농협),0.02128977272727273,0.002320208333333333,0.0,0.0,0.0,0.004548921916928078,0.0035372963894918733,0.01579200493015612,0.0,0.0,0.04748820429718213,165
126,127.4291434,36.45164731,신탄진동주민센터,0.002838636363636363,0.014297500000000001,0.01105578947368421,0.0,0.0,0.0005913942325862655,0.008534832234162746,0.003083174815119145,0.0064434024619385855,0.0,0.046844729581127315,166
75,127.4304811,36.3668679,보람아파트,0.005677272727272727,0.021070000000000002,0.0,0.0,0.0,0.0005975832419970521,0.0038433541001768336,0.010073168652423994,0.005578556134207434,0.0,0.04683993485607804,167
195,127.4093196,36.31149187,한밭도서관,0.011354545454545454,0.019376875000000002,0.0036852631578947366,0.0,0.0,0.0015940137571336787,0.0031532179225214007,0.00761321795398521,0.0,0.0,0.04677713324608048,168
98,127.452866,36.30609303,은어송마을입구,0.0,0.009719791666666667,0.009213157894736842,0.0,0.0,0.002285807475717147,0.002669959439327619,0.004757918036154478,0.017725993863411404,0.0,0.046372628376014156,169
